id,name,class,mechanism_tag,notes,deprecated,superseded_by,source_schema_version,source_generated_at
alcohol,Alcohol,Non Ceremonial,CNS depressant,Explicitly advised against with ayahuasca in provided text.,false,NULL,v2,2026-04-25 12:28:03.51+00
amphetamine_stims,Amphetamine Stimulants,Pharmaceutical Or Recreational,Monoamine releasing stimulant,Explicitly high risk with MAOI context; potential hypertensive crisis/serotonin toxicity.,false,NULL,v2,2026-04-25 12:28:03.51+00
antihypertensives,Antihypertensives,Pharmaceutical Class,Blood pressure modulation,Mentioned as risk area and also emergency management context.,false,NULL,v2,2026-04-25 12:28:03.51+00
antipsychotics,Antipsychotics,Pharmaceutical Class,Dopamine/serotonin modulation,Mixed source signals; treat as elevated caution/high risk with ayahuasca.,false,NULL,v2,2026-04-25 12:28:03.51+00
atypical_ad,Atypical Antidepressants,Pharmaceutical Class,Mixed serotonergic mechanisms,"Buspirone, trazodone, mirtazapine in psilocybin chart mostly blunted.",false,NULL,v2,2026-04-25 12:28:03.51+00
ayahuasca,Ayahuasca,Ceremonial Psychedelic,MAOI + DMT,Contains harmala alkaloids; interaction profile strongly MAOI-mediated.,false,NULL,v2,2026-04-25 12:28:03.51+00
belladonna,Belladonna,Deliriant,Anticholinergic deliriant,Marked distinct per request; no explicit risk ratings in provided documents.,false,NULL,v2,2026-04-25 12:28:03.51+00
benzodiazepines,Benzodiazepines,Pharmaceutical Class,GABAergic sedatives,Listed as generally low-risk emergency management option in supplied slides.,false,NULL,v2,2026-04-25 12:28:03.51+00
beta_blockers,Beta-Blockers,Pharmaceutical Class,Cardiovascular rate control,Rate-limiting beta-adrenergic antagonists; distinct from calcium-channel blockers.,false,NULL,v2,2026-04-25 12:28:03.51+00
beta_blockers_ccb,Beta-Blockers / Rate-Controlling CCBs,Pharmaceutical Class,Cardiovascular rate and pressure control,Aggregate node preserved for backward compatibility; superseded by beta-blockers and calcium channel blockers.,false,NULL,v2,2026-04-25 12:28:03.51+00
